name,x,y,width,height
p_820_330,817,327,7,7
p_820_340,817,337,7,7
p_820_350,817,347,7,7
p_820_360,817,357,7,7
p_820_370,817,367,7,7
p_820_380,817,377,7,7
p_820_390,817,387,7,7
p_820_400,817,397,7,7
p_820_410,817,407,7,7
p_820_420,817,417,7,7
p_820_430,817,427,7,7
p_820_440,817,437,7,7
p_820_450,817,447,7,7
p_820_460,817,457,7,7
p_820_470,817,467,7,7
p_820_480,817,477,7,7
p_820_490,817,487,7,7
p_820_500,817,497,7,7
p_820_510,817,507,7,7
p_820_520,817,517,7,7
p_820_530,817,527,7,7
p_820_540,817,537,7,7
p_820_550,817,547,7,7
p_820_560,817,557,7,7
p_820_570,817,567,7,7
p_820_580,817,577,7,7
p_820_590,817,587,7,7
p_820_600,817,597,7,7
p_820_610,817,607,7,7
p_820_620,817,617,7,7
p_820_630,817,627,7,7
p_820_640,817,637,7,7
p_820_650,817,647,7,7
p_820_660,817,657,7,7
p_820_670,817,667,7,7
p_820_680,817,677,7,7
p_820_690,817,687,7,7
p_820_700,817,697,7,7
p_820_710,817,707,7,7
p_820_720,817,717,7,7
p_820_730,817,727,7,7
p_820_740,817,737,7,7
p_820_750,817,747,7,7
p_830_250,827,247,7,7
p_830_260,827,257,7,7
p_830_270,827,267,7,7
p_830_280,827,277,7,7
p_830_290,827,287,7,7
p_830_300,827,297,7,7
p_830_310,827,307,7,7
p_830_320,827,317,7,7
p_830_330,827,327,7,7
p_830_340,827,337,7,7
p_830_350,827,347,7,7
p_830_360,827,357,7,7
p_830_370,827,367,7,7
p_830_380,827,377,7,7
p_830_390,827,387,7,7
p_830_400,827,397,7,7
p_830_410,827,407,7,7
p_830_420,827,417,7,7
p_830_430,827,427,7,7
p_830_440,827,437,7,7
p_830_450,827,447,7,7
p_830_460,827,457,7,7
p_830_470,827,467,7,7
p_830_480,827,477,7,7
p_830_490,827,487,7,7
p_830_500,827,497,7,7
p_830_510,827,507,7,7
p_830_520,827,517,7,7
p_830_530,827,527,7,7
p_830_540,827,537,7,7
p_830_550,827,547,7,7
p_830_560,827,557,7,7
p_830_570,827,567,7,7
p_830_580,827,577,7,7
p_830_590,827,587,7,7
p_830_600,827,597,7,7
p_830_610,827,607,7,7
p_830_620,827,617,7,7
p_830_630,827,627,7,7
p_830_640,827,637,7,7
p_830_650,827,647,7,7
p_830_660,827,657,7,7
p_830_670,827,667,7,7
p_830_680,827,677,7,7
p_830_690,827,687,7,7
p_830_700,827,697,7,7
p_830_710,827,707,7,7
p_830_720,827,717,7,7
p_830_730,827,727,7,7
p_830_740,827,737,7,7
p_830_750,827,747,7,7
p_840_250,837,247,7,7
p_840_260,837,257,7,7
p_840_270,837,267,7,7
p_840_280,837,277,7,7
p_840_290,837,287,7,7
p_840_300,837,297,7,7
p_840_310,837,307,7,7
p_840_320,837,317,7,7
p_840_330,837,327,7,7
p_840_340,837,337,7,7
p_840_350,837,347,7,7
p_840_360,837,357,7,7
p_840_370,837,367,7,7
p_840_380,837,377,7,7
p_840_390,837,387,7,7
p_840_400,837,397,7,7
p_840_410,837,407,7,7
p_840_420,837,417,7,7
p_840_430,837,427,7,7
p_840_440,837,437,7,7
p_840_450,837,447,7,7
p_840_460,837,457,7,7
p_840_470,837,467,7,7
p_840_480,837,477,7,7
p_840_490,837,487,7,7
p_840_500,837,497,7,7
p_840_510,837,507,7,7
p_840_520,837,517,7,7
p_840_530,837,527,7,7
p_840_540,837,537,7,7
p_840_550,837,547,7,7
p_840_560,837,557,7,7
p_840_570,837,567,7,7
p_840_580,837,577,7,7
p_840_590,837,587,7,7
p_840_600,837,597,7,7
p_840_610,837,607,7,7
p_840_620,837,617,7,7
p_840_630,837,627,7,7
p_840_640,837,637,7,7
p_840_650,837,647,7,7
p_840_660,837,657,7,7
p_840_670,837,667,7,7
p_840_680,837,677,7,7
p_840_690,837,687,7,7
p_840_700,837,697,7,7
p_840_710,837,707,7,7
p_840_720,837,717,7,7
p_840_730,837,727,7,7
p_840_740,837,737,7,7
p_840_750,837,747,7,7
p_850_250,847,247,7,7
p_850_260,847,257,7,7
p_850_270,847,267,7,7
