event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
22,color3,black,darken,512,1,15.17797855194658,608.8071395643055,623.9851181162521,48.86778676882386,86.4958296297118,94.23107013572007,45.36328336689621,-529.754047980532,60.142857142857146,27.46938775510204,-32.673469387755105,1,1
23,color3,paper,lighten,512,1,20.3289712080732,1264.199213241227,1284.5281844493002,345.9469184745103,555.4643314098939,565.9643313847482,220.0174129102379,-718.563853064552,27.632653061224488,59.97959183673469,32.3469387755102,1,1
24,color,black,darken,64,0,0.8989988127723336,1265.8452108735219,1266.7442096862942,641.4317775052041,751.5696518821642,765.2078540995717,123.77607659436762,-501.5363555867225,59.95918367346939,28.448979591836736,-31.510204081632654,1,1
25,color,paper,lighten,64,0,0.917998724617064,1261.9382163975388,1262.8562151221558,485.1711937226355,636.0740181989968,648.1853515142575,163.01415779162198,-614.6708636078984,28.408163265306122,60.06122448979592,31.653061224489797,1,1
26,color,black,darken,64,1,0.8169988868758082,1299.4101633084938,1300.2271621953696,677.9789100401103,786.7761380039155,801.0645101312548,123.08560009114444,-499.1626520641148,60.06122448979592,28.26530612244898,-31.79591836734694,1,1
27,color,paper,lighten,64,1,0.8599987486377358,1264.0802133828402,1264.940212131478,485.23701867088675,618.4443730162457,634.5750548643991,149.33803619351238,-630.3651572670788,28.54081632653061,59.714285714285715,31.173469387755105,1,1
28,color,black,darken,256,0,4.295993945561349,1271.731202607043,1276.0271965526044,688.9147561741993,759.7696734592319,769.453217741102,80.5384615669027,-506.57397881150246,60.224489795918366,27.571428571428573,-32.65306122448979,1,1
29,color,paper,lighten,256,0,6.158991251140833,1269.6232055313885,1275.7821967825294,496.17729999590665,647.7490629767999,658.2607296295464,162.08342963363975,-617.521467152983,27.653061224489797,60.12244897959184,32.46938775510204,1,1
30,color,black,darken,256,1,4.451993736438453,1275.3021974349394,1279.754191171378,669.6076351217926,765.7122127711773,781.234907801263,111.62727267947048,-498.51928337011486,60.48979591836735,27.632653061224488,-32.85714285714286,1,1
31,color,paper,lighten,256,1,5.213992670178413,1266.3872101111338,1271.6012027813122,490.37795048207045,628.5149964969605,633.2864250289276,142.90847454685718,-638.3147777523845,27.571428571428573,59.755102040816325,32.183673469387756,1,1
32,color,black,darken,512,0,15.043978695757687,1269.5812055608258,1284.6251842565835,707.5499027268961,769.0498699666932,774.4539349805564,66.90403225366026,-510.1712492760271,59.795918367346935,27.53061224489796,-32.265306122448976,1,1
33,color,paper,lighten,512,0,18.992973025888205,1265.4402115149423,1284.4331845408306,505.6543860118836,656.6731886705384,669.5861299522221,163.9317439403385,-614.8470545886084,27.448979591836736,60.224489795918366,32.77551020408163,1,1
34,color,black,darken,512,1,15.344978426583111,1269.199206144549,1284.544184571132,700.3307496197522,772.1950217382982,779.9686581129208,79.63790849316865,-504.57552645821124,60.265306122448976,27.551020408163264,-32.71428571428571,1,1
35,color,paper,lighten,512,1,19.037973135709763,1265.4942113440484,1284.5321844797581,499.8676658142358,651.0145433712751,658.2091862801462,158.34152046591043,-626.3229981996119,27.693877551020407,60.08163265306123,32.38775510204082,1,1
