event,family,target,direction,size,repetition,software_submit_ms,queue_wait_ms,queue_total_ms,visible_onset_ms,first_90_ms,settled_ms,visible_motion_ms,settled_minus_drain_ms,baseline_luma,final_luma,luma_amplitude,accepted,drained
28,native-live,red,darken,64,1,0.9549970272928476,600.8101034676656,601.7651004949585,35.261021461337805,72.75116292294115,531.5153752453625,496.2543537840247,-70.24972524959594,103.2025,78.055,-25.147499999999994,1,1
29,native-live,paper,lighten,64,1,0.882997177541256,605.0930900964886,605.9760872740299,229.78157829493284,404.7765205614269,412.4548538820818,182.67327558714896,-193.52123339194804,78.35,102.7775,24.42750000000001,1,1
30,native-live,red,darken,256,0,4.879984655417502,612.2280674753711,617.1080521307886,42.18099499121308,83.43201410025358,539.584347861819,497.4033528706059,-77.5237042689696,103.00874999999999,59.435,-43.57374999999999,1,1
31,native-live,paper,lighten,256,0,5.756981787271798,611.2070708768442,616.964052664116,241.84593826066703,385.61520259827375,387.5888768816367,145.74293862096965,-229.37517578247935,59.67125,104.2125,44.541250000000005,1,1
32,native-live,red,darken,256,1,4.900984466075897,612.0330680860206,616.9340525520965,41.02070559747517,83.42544827610254,536.5980722708628,495.5773666733876,-80.33598028123379,104.59,59.4475,-45.142500000000005,1,1
33,native-live,paper,lighten,256,1,5.612982320599258,615.3110576560721,620.9240399766713,241.98965076357126,381.8053776631132,384.7616008715704,142.77195010799915,-236.16243910510093,59.79875,104.275,44.47625000000001,1,1
34,native-live,red,darken,768,0,35.94388661440462,607.1750833652914,643.118969979696,75.90634690131992,110.37850915454328,574.4631591951475,498.55681229382753,-68.65581078454852,104.69,58.905,-45.785,1,1
35,native-live,paper,lighten,768,0,43.81086165085435,616.4350542239845,660.2459158748388,283.56587910093367,416.7461098404601,425.05578720010817,141.4899080991745,-235.19012867473066,59.1475,103.875,44.7275,1,1
36,native-live,red,darken,768,1,40.097873425111175,605.2460895152763,645.3439629403874,77.42118393070996,112.96423140447587,576.3261367101222,498.90495277941227,-69.0178262302652,104.4175,58.8275,-45.59,1,1
37,native-live,paper,lighten,768,1,43.65486209280789,618.2300485670567,661.8849106598645,284.3876749975607,419.8952227598056,423.6877717776224,139.30009678006172,-238.19713888224214,59.07,103.805,44.73500000000001,1,1
