sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
41,885238.112773875,1077.306321687,1077.306322187,885238.120339,0.007564625008171788,-884160.8102345006
42,885238.121432208,1077.314978577,1077.314978952,885238.129405125,0.007972542053721554,-884160.810439902
43,885238.130980875,1077.326432307,1077.326432682,885238.140667916,0.009686666048992265,-884160.809391901
44,885238.142142291,1077.335941686,1077.335941936,885238.151549833,0.009407292063997374,-884160.810904251
45,885238.152895833,1077.345549939,1077.345550314,885238.159574041,0.006677833010144241,-884160.8106848105
46,885238.160671958,1077.353543087,1077.353543462,885238.169601166,0.008928833037316508,-884160.8115932875
47,885238.170931125,1077.364705321,1077.364705821,885238.182464625,0.011533000044664732,-884160.8119923039
48,885238.183824833,1077.378313523,1077.378313898,885238.192639333,0.008814124946411539,-884160.8099183724
49,885238.193997208,1077.387286034,1077.387286784,885238.201606583,0.007608624937574859,-884160.8105154865
50,885238.204547625,1077.664339765,1077.66434039,885238.478628708,0.2740804580146232,-884160.6772480891
51,885238.479973333,1077.673451024,1077.673451524,885238.487199583,0.007225750018051258,-884160.810135184
52,885238.488518416,1077.683857267,1077.683857767,885238.498226458,0.009707542023534188,-884160.80951492
53,885238.499539875,1077.69228191,1077.692282285,885238.507785,0.008244750063795436,-884160.81138034
54,885238.509561916,1077.702938775,1077.70293915,885238.51767975,0.008117458989545412,-884160.8106818704
55,885238.520719958,1077.714273631,1077.714274006,885238.528471916,0.007751582978926308,-884160.8103221185
56,885238.530968625,1077.723936008,1077.723936508,885238.540191458,0.009222332974104575,-884160.8116437835
57,885238.541531083,1077.741023541,1077.741024416,885238.555373166,0.01384120793159127,-884160.807428146
58,885238.556651,1077.749351935,1077.749352685,885238.563245083,0.006593332922648187,-884160.8105957315
59,885238.564474791,1077.75607535,1077.756075975,885238.570207583,0.0057321669639804895,-884160.8112655245
60,885238.571544625,1077.763578379,1077.763578754,885238.577854041,0.006309041028544016,-884160.8111207664
61,885238.57921875,1077.77299976,1077.77300026,885238.587388958,0.008169707962451866,-884160.810303844
62,885238.588729,1077.781943146,1077.781943771,885238.59638325,0.007653625017383092,-884160.8106126664
63,885238.597781333,1077.792561386,1077.792561886,885238.610047125,0.012265292000165573,-884160.811352593
64,885238.61144425,1077.80562172,1077.805622345,885238.622004041,0.010559166000575715,-884160.811102113
65,885238.623203583,1077.818777178,1077.818777553,885238.636072916,0.012868958033322997,-884160.8108608839
66,885238.637420291,1077.832786875,1077.832787375,885238.651559166,0.014138375063566855,-884160.8117026035
67,885238.652925208,1077.846889571,1077.846890446,885238.661193708,0.008267624979680477,-884160.8101694494
68,885238.66258,1077.855426588,1077.855426963,885238.67200925,0.009428875029016126,-884160.8118678496
69,885238.673338166,1077.869311786,1077.869312161,885238.684251333,0.010912792032513607,-884160.809482776
70,885238.68561375,1077.882160998,1077.882161373,885238.696881416,0.011267291006561209,-884160.8090863975
71,885238.698776458,1077.892430993,1077.892431368,885238.706457,0.007680166952241052,-884160.8101855485
72,885238.708849458,1077.902392866,1077.902393241,885238.7165265,0.007676666925362952,-884160.8102949255
73,885238.7179555,1077.911213629,1077.911214004,885238.727932375,0.009976500037055303,-884160.811730121
74,885238.729282916,1078.28075656,1078.28075731,885239.098258708,0.3689750419639495,-884160.6330138771
75,885239.099659833,1078.293102403,1078.293102903,885239.107588791,0.007928458046080777,-884160.810521659
76,885239.108922166,1078.302291912,1078.302292287,885239.116545416,0.0076228748978337535,-884160.8104416914
77,885239.118157666,1078.311222298,1078.311222673,885239.127365958,0.009207917001958776,-884160.8115393264
78,885239.128729083,1078.321928412,1078.321928912,885239.136893666,0.008164083006931833,-884160.8108827125
79,885239.1382145,1078.330580052,1078.330580552,885239.145030666,0.0068156659874603065,-884160.8110422811
80,885239.146426666,1078.339279817,1078.339280192,885239.153419208,0.0069921670685744175,-884160.8106429325
81,885239.154769916,1078.349629185,1078.34962956,885239.165068166,0.010297875010110147,-884160.8102896684
82,885239.1664215,1078.36104129,1078.361041665,885239.17578125,0.009359374965470124,-884160.8100598976
83,885239.177353708,1078.372360272,1078.372360772,885239.188382125,0.011027917036699364,-884160.8105073945
84,885239.189817583,1078.382890263,1078.382890763,885239.19939075,0.009572667073598495,-884160.8117136535
85,885239.200742458,1078.394026871,1078.394027371,885239.213131958,0.012389000043413034,-884160.812910087
86,885239.215772875,1078.408933432,1078.408933807,885239.223752375,0.007979124990924902,-884160.8108290054
87,885239.228101833,1078.422288137,1078.422288512,885239.236706,0.008603792029134638,-884160.8101155921
88,885239.238146625,1078.430254536,1078.430255036,885239.246425625,0.008278500059532234,-884160.812031339
89,885239.247679958,1078.442208009,1078.442208509,885239.344572875,0.09689241694673001,-884160.8539181575
90,885239.347857916,1078.58623643,1078.58623693,885239.402933708,0.05507529201372563,-884160.789159132
91,885239.404368625,1078.598379276,1078.598379776,885239.412545375,0.008176249921461931,-884160.810077474
92,885239.418215166,1078.612291599,1078.612291974,885239.427520291,0.009304749985858507,-884160.8105759419
93,885239.428864875,1078.622304597,1078.622304972,885239.437627541,0.008762291024368096,-884160.8109414235
94,885239.438987416,1078.632312845,1078.63231322,885239.446054875,0.007067084053232975,-884160.810208113
95,885239.447384791,1078.640996234,1078.640996609,885239.460353833,0.01296866705820321,-884160.8128728905
96,885239.461576166,1078.657399026,1078.657399401,885239.471570458,0.009993917049541778,-884160.8091740985
97,885239.476549333,1078.671316599,1078.671317099,885239.485678583,0.009128750072932235,-884160.809797109
98,885239.486985166,1078.680652106,1078.680652856,885239.503996833,0.017010917019661065,-884160.8148385185
99,885239.505350791,1078.699076622,1078.699077122,885239.51371325,0.008361959018657217,-884160.8104551486
