frame,presentation_seconds,host_seconds,width,height,center
87,885164.4656333333,885164.491833833,1920,1080,103.4225
88,885164.4816333334,885164.509274041,1920,1080,103.4125
89,885164.4986333334,885164.521064833,1920,1080,103.395
90,885164.5156333334,885164.537327458,1920,1080,103.29
91,885164.5316333333,885164.551278375,1920,1080,103.34
92,885164.5486333333,885164.570084,1920,1080,103.4325
93,885164.5656333333,885164.583258083,1920,1080,103.44
94,885164.5816333333,885164.61957975,1920,1080,103.5575
95,885164.5986333333,885164.630202375,1920,1080,103.51
96,885164.6146333333,885164.646905583,1920,1080,103.4975
97,885164.6316333333,885164.66260925,1920,1080,103.465
98,885164.6486333334,885164.679724875,1920,1080,69.895
99,885164.6646333333,885164.695714208,1920,1080,49.0175
100,885164.6816333333,885164.716207208,1920,1080,44.76
101,885164.6986333333,885164.733654791,1920,1080,43.905
102,885164.7146333334,885164.743985125,1920,1080,43.9
103,885164.7316333334,885164.759363125,1920,1080,43.4575
104,885164.7476333333,885164.778064458,1920,1080,43.6375
105,885164.7656333334,885164.793133916,1920,1080,43.665
106,885164.7816333333,885164.806655833,1920,1080,43.54
107,885164.7986333333,885164.822519666,1920,1080,43.29
108,885164.8146333334,885164.840835583,1920,1080,43.0725
109,885164.8316333333,885164.855132333,1920,1080,43.075
110,885164.8486333333,885164.87249475,1920,1080,42.7225
111,885164.8646333333,885164.889118666,1920,1080,42.64
112,885164.8816333333,885164.910295666,1920,1080,42.4775
113,885164.8986333334,885164.928311375,1920,1080,42.5875
114,885164.9146333333,885164.940267041,1920,1080,42.52
