sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
20,882949.227618083,87397.38632983,87397.38633058,882949.232446041,0.004827207943890244,-795551.8437018569
21,882949.235100666,87397.394377507,87397.394378132,882949.240461583,0.0053602920670527965,-795551.8434033049
22,882949.241749708,87397.400352452,87397.400352952,882949.246809416,0.005059208022430539,-795551.84392686
23,882949.248425875,87397.407363514,87397.407363889,882949.253862833,0.00543658304377459,-795551.8437806525
24,882949.255541625,87397.548816605,87397.54881723,882949.395520708,0.13997845810081344,-795551.776714249
25,882949.397262833,87397.55538267,87397.555383045,882949.401203083,0.003939875037758611,-795551.8438501004
26,882949.402769333,87397.561382116,87397.561382491,882949.407084625,0.0043149169941898435,-795551.8435446755
27,882949.408738708,87397.567363187,87397.567363687,882949.413174583,0.004435374983586371,-795551.8435932086
28,882949.414840333,87397.574362748,87397.574363248,882949.420213375,0.005372541956603527,-795551.8431638561
29,882949.421447958,87397.580375194,87397.580375569,882949.42691175,0.005463417008286342,-795551.8438044725
30,882949.429075583,87397.588344621,87397.588345496,882949.435314416,0.006237957961275242,-795551.8438499409
31,882949.436969958,87397.595373557,87397.595373932,882949.441208208,0.004237874964019284,-795551.8437153385
32,882949.443010208,87397.601358003,87397.601358378,882949.447292208,0.004281625006115064,-795551.8437930176
33,882949.449019916,87397.607339199,87397.607339449,882949.453284958,0.004264792034518905,-795551.8438131129
34,882949.454880291,87397.613363769,87397.613364269,882949.463536958,0.008656166974105872,-795551.8458446055
35,882949.464729291,87397.623340054,87397.623340429,882949.469322416,0.004592749959556386,-795551.8436856121
36,882949.471099541,87397.629372749,87397.629373374,882949.475055458,0.003955291962483898,-795551.8437044381
37,882949.476998041,87397.63532457,87397.63532532,882949.481438666,0.00443987495964393,-795551.8438934085
38,882949.483557333,87397.642361756,87397.642362006,882949.488705458,0.005147875010152347,-795551.8437695145
39,882949.490316708,87397.649324068,87397.649324443,882949.496125416,0.0058083330222871155,-795551.8438968065
40,882949.497249125,87397.659883722,87397.659884097,882949.50629775,0.009048250009072945,-795551.8418895281
41,882949.50771475,87397.666353538,87397.666353913,882949.512325541,0.0046104159991955385,-795551.84366642
42,882949.513918166,87397.672355109,87397.672355359,882949.5187215,0.004803083895239979,-795551.8439645991
43,882949.520792833,87397.679383045,87397.679383545,882949.52520725,0.004413917093188502,-795551.8436167466
44,882949.526799083,87397.685328741,87397.685329241,882949.531215041,0.004415457966388203,-795551.8436780709
45,882949.532804625,87397.691365936,87397.691366311,882949.537403416,0.004598416009685025,-795551.843737897
46,882949.538990791,87397.698323748,87397.698324123,882949.544385791,0.005394625099143013,-795551.8433643555
47,882949.54616975,87397.705349809,87397.705350184,882949.5515215,0.005351374944439158,-795551.8434956286
48,882949.553274875,87397.712374996,87397.712375246,882949.558495291,0.005220166000071913,-795551.8435099621
49,882949.561632375,87397.721375539,87397.721375914,882949.569829458,0.008196708018658683,-795551.84435519
50,882949.571626375,87397.730379207,87397.730379582,882949.579381916,0.007755166006973013,-795551.8451247509
51,882949.580872041,87397.739595749,87397.739596124,882949.586388041,0.005515624972758815,-795551.8440341046
52,882949.587960083,87397.747354553,87397.747354803,882949.5954095,0.007449166907463223,-795551.8443301135
53,882949.597053208,87397.757919707,87397.757920082,882949.604577958,0.0075243749597575516,-795551.8428956885
54,882949.606192166,87397.764574647,87397.764575022,882949.61141125,0.0052187089750077575,-795551.8442268735
55,882949.613002916,87397.772565574,87397.772565949,882949.6195985,0.006595208993530832,-795551.8437349465
