sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
100,881912.00864525,86360.166127692,86360.166127942,881912.017460625,0.008815125052933581,-795551.8469251206
101,881912.018800791,86360.175251214,86360.175251464,881912.025169875,0.006368834001477808,-795551.8467339941
102,881912.026557958,86360.182239386,86360.182239636,881912.0339365,0.00737829199351836,-795551.848007718
103,881912.035297958,86360.191919277,86360.191919527,881912.04212425,0.006826042023021728,-795551.846791702
104,881912.043226958,86360.199911312,86360.199911687,881912.050508875,0.0072815420280676335,-795551.8469564171
105,881912.051841,86360.218069358,86360.218069608,881912.068164083,0.016322832962032408,-795551.8419330585
106,881912.069570166,86360.227497502,86360.227497752,881912.077844875,0.00827445910545066,-795551.8462098935
107,881912.079253125,86360.23524854,86360.23524879,881912.084895916,0.00564254104392603,-795551.8468258556
108,881912.08626125,86360.242914579,86360.242914954,881912.09267225,0.006410625035641715,-795551.8465519835
109,881912.094048291,86360.250909114,86360.250909364,881912.10092075,0.006872208963613957,-795551.8465752815
110,881912.102260166,86360.258260531,86360.258260906,881912.107876541,0.005616000009467825,-795551.8468076349
111,881912.109226666,86360.264911831,86360.264912081,881912.122739875,0.01351295894710347,-795551.8510713145
112,881912.124291958,86360.282338136,86360.282338386,881912.13203025,0.007738041997072287,-795551.845822843
113,881912.133365166,86360.289570554,86360.289570804,881912.141747833,0.00838241697056219,-795551.8479858205
114,881912.143177541,86360.299249821,86360.299250071,881912.148896208,0.005718417058233172,-795551.8467869286
115,881912.150107583,86360.306907985,86360.306908235,881912.156917208,0.006809374957811087,-795551.8466042855
116,881912.158928375,86360.315572637,86360.315573012,881912.165882083,0.006953333009732887,-795551.8468324045
117,881912.167343958,86360.323566797,86360.323567047,881912.174390041,0.0070458329864777625,-795551.8473000776
118,881912.175755291,86360.331559207,86360.331559457,881912.18183725,0.006081708997953683,-795551.8472369385
119,881912.183193666,86360.339587992,86360.339588367,881912.189925333,0.0067312919709365815,-795551.84697132
120,881912.191264958,86360.347249156,86360.347249531,881912.196844166,0.005578833020990714,-795551.8468052186
121,881912.198186958,86360.354270202,86360.354270452,881912.204269583,0.00608237502456177,-795551.8469579434
122,881912.206549916,86360.365926696,86360.365926946,881912.215552708,0.009002542064990848,-795551.845124491
123,881912.216933083,86360.373586235,86360.373586485,881912.223040958,0.00610762502765283,-795551.8464006605
124,881912.224397125,86360.379902414,86360.379902664,881912.229917166,0.005519791098777205,-795551.8472546064
125,881912.231248875,86360.387593453,86360.387593828,881912.236704875,0.0054556249815505,-795551.8463832345
126,881912.238029,86360.393910507,86360.393910882,881912.243894041,0.005864666047273204,-795551.8470508261
127,881912.245402166,86360.401572546,86360.401573046,881912.251832666,0.0064299999648937955,-795551.84704462
128,881912.253357583,86360.746917039,86360.746917539,881912.597617833,0.3442597499815747,-795551.6785704189
129,881912.598966625,86360.754941074,86360.754941449,881912.60531675,0.006349749950459227,-795551.847200426
130,881912.606641583,86360.762933484,86360.762933734,881912.613325458,0.006683624989818782,-795551.8470499115
131,881912.615213958,86360.771936258,86360.771936508,881912.621727833,0.006513624975923449,-795551.8465345125
132,881912.623066958,86360.779593047,86360.779593297,881912.629669583,0.006602375011425465,-795551.8467750985
