# Calibration grid spanning the projected tablet screen.
name,x,y,width,height
g_550_550,547,547,7,7
g_600_550,597,547,7,7
g_650_550,647,547,7,7
g_700_550,697,547,7,7
g_750_550,747,547,7,7
g_800_550,797,547,7,7
g_850_550,847,547,7,7
g_900_550,897,547,7,7
g_950_550,947,547,7,7
g_1000_550,997,547,7,7
g_1050_550,1047,547,7,7
g_1100_550,1097,547,7,7
g_1150_550,1147,547,7,7
g_1200_550,1197,547,7,7
g_1250_550,1247,547,7,7
g_1300_550,1297,547,7,7
g_1350_550,1347,547,7,7
g_1400_550,1397,547,7,7
g_1450_550,1447,547,7,7
g_1500_550,1497,547,7,7
g_1550_550,1547,547,7,7
g_1600_550,1597,547,7,7
g_1650_550,1647,547,7,7
g_1700_550,1697,547,7,7
g_1750_550,1747,547,7,7
g_1800_550,1797,547,7,7
g_1850_550,1847,547,7,7
g_400_600,397,597,7,7
g_450_600,447,597,7,7
g_500_600,497,597,7,7
g_550_600,547,597,7,7
g_600_600,597,597,7,7
g_650_600,647,597,7,7
g_700_600,697,597,7,7
g_750_600,747,597,7,7
g_800_600,797,597,7,7
g_850_600,847,597,7,7
g_900_600,897,597,7,7
g_950_600,947,597,7,7
g_1000_600,997,597,7,7
g_1050_600,1047,597,7,7
g_1100_600,1097,597,7,7
g_1150_600,1147,597,7,7
g_1200_600,1197,597,7,7
g_1250_600,1247,597,7,7
g_1300_600,1297,597,7,7
g_1350_600,1347,597,7,7
g_1400_600,1397,597,7,7
g_1450_600,1447,597,7,7
g_1500_600,1497,597,7,7
g_1550_600,1547,597,7,7
g_1600_600,1597,597,7,7
g_1650_600,1647,597,7,7
g_1700_600,1697,597,7,7
g_1750_600,1747,597,7,7
g_1800_600,1797,597,7,7
g_1850_600,1847,597,7,7
g_400_650,397,647,7,7
g_450_650,447,647,7,7
g_500_650,497,647,7,7
g_550_650,547,647,7,7
g_600_650,597,647,7,7
g_650_650,647,647,7,7
g_700_650,697,647,7,7
g_750_650,747,647,7,7
g_800_650,797,647,7,7
g_850_650,847,647,7,7
g_900_650,897,647,7,7
g_950_650,947,647,7,7
g_1000_650,997,647,7,7
g_1050_650,1047,647,7,7
g_1100_650,1097,647,7,7
g_1150_650,1147,647,7,7
g_1200_650,1197,647,7,7
g_1250_650,1247,647,7,7
g_1300_650,1297,647,7,7
g_1350_650,1347,647,7,7
g_1400_650,1397,647,7,7
g_1450_650,1447,647,7,7
g_1500_650,1497,647,7,7
g_1550_650,1547,647,7,7
g_1600_650,1597,647,7,7
g_1650_650,1647,647,7,7
g_1700_650,1697,647,7,7
g_1750_650,1747,647,7,7
g_1800_650,1797,647,7,7
g_1850_650,1847,647,7,7
g_400_700,397,697,7,7
g_450_700,447,697,7,7
g_500_700,497,697,7,7
g_550_700,547,697,7,7
g_600_700,597,697,7,7
g_650_700,647,697,7,7
g_700_700,697,697,7,7
g_750_700,747,697,7,7
g_800_700,797,697,7,7
g_850_700,847,697,7,7
g_900_700,897,697,7,7
